mine_request,mined,hardness,node_index,node_name,node_counter,node_identifier,blockchain_length,is_pool,number_of_nodes,mining_time
1,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,2,False,1,0.01294708251953125
1,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,2,False,1,0.16619610786437988
1,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,2,True,2,0.1454939842224121
2,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,3,False,1,2.1647050380706787
2,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,3,False,1,0.6211402416229248
2,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,3,True,2,0.8099570274353027
3,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,4,False,1,0.04406285285949707
3,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,4,False,1,2.301182985305786
3,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,4,True,2,1.8463129997253418
4,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,5,False,1,1.5540411472320557
4,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,5,False,1,1.1193196773529053
4,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,5,True,2,0.49703288078308105
5,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,6,False,1,0.9516990184783936
5,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,6,False,1,0.19254708290100098
5,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,6,True,2,0.9923572540283203
6,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,7,False,1,0.4134230613708496
6,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,7,False,1,0.7140440940856934
6,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,6,True,2,-
7,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,8,False,1,1.4205358028411865
7,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,8,False,1,1.346625804901123
7,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,8,True,2,0.8993690013885498
8,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,9,False,1,0.10159015655517578
8,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,9,False,1,1.667494297027588
8,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,9,True,2,1.2709529399871826
9,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,10,False,1,1.5442311763763428
9,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,10,False,1,1.1084468364715576
9,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,10,True,2,1.492475986480713
10,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,11,False,1,2.389309883117676
10,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,11,False,1,1.4233500957489014
10,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,11,True,2,0.7225258350372314
11,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,12,False,1,0.10202908515930176
11,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,12,False,1,0.20256590843200684
11,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,12,True,2,1.2463061809539795
12,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,13,False,1,0.9554989337921143
12,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,13,False,1,1.4397408962249756
12,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,13,True,2,0.6634669303894043
13,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,14,False,1,0.4883270263671875
13,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,14,False,1,0.004526853561401367
13,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,13,True,2,-
14,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,15,False,1,0.11162090301513672
14,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,15,False,1,1.0109491348266602
14,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,15,True,2,0.012795209884643555
15,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,16,False,1,1.0016560554504395
15,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,16,False,1,0.7200760841369629
15,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,16,True,2,1.074920892715454
16,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,17,False,1,1.6301538944244385
16,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,17,False,1,1.0878188610076904
16,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,17,True,2,0.7656431198120117
17,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,18,False,1,2.0781497955322266
17,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,18,False,1,1.3835949897766113
17,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,18,True,2,1.0616168975830078
18,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,19,False,1,0.32468509674072266
18,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,19,False,1,2.1454567909240723
18,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,19,True,2,1.6873161792755127
19,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,20,False,1,1.7246792316436768
19,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,20,False,1,0.5322122573852539
19,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,20,True,2,1.2572166919708252
20,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,21,False,1,0.8690528869628906
20,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,21,False,1,1.3724937438964844
20,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,21,True,2,0.3160731792449951
21,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,22,False,1,0.6883797645568848
21,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,22,False,1,0.7739591598510742
21,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,22,True,2,1.2249820232391357
22,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,23,False,1,1.3804879188537598
22,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,23,False,1,1.5792059898376465
22,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,23,True,2,0.8876707553863525
23,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,24,False,1,1.1676859855651855
23,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,24,False,1,0.7760319709777832
23,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,24,True,2,0.7537572383880615
24,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,25,False,1,0.11226105690002441
24,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,25,False,1,0.7378921508789062
24,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,24,True,2,-
25,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,26,False,1,2.749962091445923
25,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,26,False,1,2.0895049571990967
25,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,26,True,2,0.06250786781311035
26,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,27,False,1,0.9722559452056885
26,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,27,False,1,0.9183807373046875
26,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,26,True,2,-
27,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,28,False,1,1.0334172248840332
27,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,28,False,1,0.5006482601165771
27,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,28,True,2,0.44634127616882324
28,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,29,False,1,0.11157107353210449
28,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,29,False,1,0.7136588096618652
28,False,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,28,True,2,-
29,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,30,False,1,0.46738100051879883
29,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,30,False,1,0.8522622585296631
29,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,29,True,2,1.295309066772461
30,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,31,False,1,2.444736957550049
30,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,31,False,1,0.817086935043335
30,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,31,True,2,0.5009400844573975
31,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,32,False,1,1.1711900234222412
31,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,32,False,1,2.8503339290618896
31,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,32,True,2,0.9757239818572998
32,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,33,False,1,2.0703580379486084
32,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,33,False,1,3.132097005844116
32,True,4,2,"('Node-2',)",2,84e0abf492fb4d1499a0fd60042338aa,33,True,2,1.2740578651428223
33,True,4,0,"('Node-0',)",0,62667dbf6e864f4a89c408b1c40e956b,34,False,1,1.146456003189087
33,True,4,1,"('Node-1',)",1,e741b928c05e4d078d185073e8237c9a,34,False,1,1.286557912826538
