mine_request,mined,hardness,node_id,node_identifier,blockchain_length,is_pool,number_of_nodes,mining_time
1,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,2,0,1,42.91720390319824
1,1,5,1,33e59cb5bdad45a6b58911ab1991c180,2,0,1,42.51036095619202
1,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,2,1,4,42.54308199882507
2,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,3,0,1,0.5227940082550049
2,0,5,1,33e59cb5bdad45a6b58911ab1991c180,2,0,1,-
2,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,3,1,4,0.49309706687927246
3,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,4,0,1,0.757443904876709
3,1,5,1,33e59cb5bdad45a6b58911ab1991c180,4,0,1,0.801764965057373
3,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,3,1,4,-
4,0,5,0,bcf07ceab46e4de19aba45a67e3805d9,4,0,1,-
4,1,5,1,33e59cb5bdad45a6b58911ab1991c180,5,0,1,1.25954008102417
4,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,5,1,4,0.1420741081237793
5,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,6,0,1,1.1736218929290771
5,1,5,1,33e59cb5bdad45a6b58911ab1991c180,6,0,1,1.1811509132385254
5,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,5,1,4,-
6,0,5,0,bcf07ceab46e4de19aba45a67e3805d9,6,0,1,-
6,1,5,1,33e59cb5bdad45a6b58911ab1991c180,7,0,1,0.1521449089050293
6,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,7,1,4,0.3081531524658203
7,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,8,0,1,0.8273162841796875
7,0,5,1,33e59cb5bdad45a6b58911ab1991c180,7,0,1,-
7,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,8,1,4,0.506641149520874
8,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,9,0,1,0.39004087448120117
8,1,5,1,33e59cb5bdad45a6b58911ab1991c180,9,0,1,0.6668438911437988
8,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,8,1,4,-
9,0,5,0,bcf07ceab46e4de19aba45a67e3805d9,9,0,1,-
9,1,5,1,33e59cb5bdad45a6b58911ab1991c180,10,0,1,0.3323330879211426
9,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,10,1,4,0.3915529251098633
10,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,11,0,1,0.7651278972625732
10,0,5,1,33e59cb5bdad45a6b58911ab1991c180,10,0,1,-
10,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,11,1,4,0.5562260150909424
11,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,12,0,1,0.591048002243042
11,1,5,1,33e59cb5bdad45a6b58911ab1991c180,12,0,1,0.9648070335388184
11,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,11,1,4,-
12,0,5,0,bcf07ceab46e4de19aba45a67e3805d9,12,0,1,-
12,1,5,1,33e59cb5bdad45a6b58911ab1991c180,13,0,1,0.8853931427001953
12,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,13,1,4,0.48229408264160156
13,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,14,0,1,0.8487751483917236
13,1,5,1,33e59cb5bdad45a6b58911ab1991c180,14,0,1,0.8885529041290283
13,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,13,1,4,-
14,0,5,0,bcf07ceab46e4de19aba45a67e3805d9,14,0,1,-
14,1,5,1,33e59cb5bdad45a6b58911ab1991c180,15,0,1,0.723308801651001
14,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,15,1,4,0.17488479614257812
15,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,16,0,1,0.8675570487976074
15,1,5,1,33e59cb5bdad45a6b58911ab1991c180,16,0,1,1.9946589469909668
15,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,15,1,4,-
16,0,5,0,bcf07ceab46e4de19aba45a67e3805d9,16,0,1,-
16,1,5,1,33e59cb5bdad45a6b58911ab1991c180,17,0,1,1.3216867446899414
16,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,17,1,4,1.1641149520874023
17,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,18,0,1,0.6332511901855469
17,1,5,1,33e59cb5bdad45a6b58911ab1991c180,18,0,1,0.4478468894958496
17,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,17,1,4,-
18,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,19,0,1,0.9819891452789307
18,0,5,1,33e59cb5bdad45a6b58911ab1991c180,18,0,1,-
18,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,19,1,4,0.2690091133117676
19,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,20,0,1,1.1189448833465576
19,1,5,1,33e59cb5bdad45a6b58911ab1991c180,20,0,1,0.7981510162353516
19,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,19,1,4,-
20,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,21,0,1,0.46291303634643555
20,0,5,1,33e59cb5bdad45a6b58911ab1991c180,20,0,1,-
20,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,21,1,4,0.3615269660949707
21,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,22,0,1,1.4462730884552002
21,1,5,1,33e59cb5bdad45a6b58911ab1991c180,22,0,1,1.8090169429779053
21,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,21,1,4,-
22,0,5,0,bcf07ceab46e4de19aba45a67e3805d9,22,0,1,-
22,1,5,1,33e59cb5bdad45a6b58911ab1991c180,23,0,1,0.8449108600616455
22,1,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,23,1,4,0.4644489288330078
23,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,24,0,1,1.3214919567108154
23,1,5,1,33e59cb5bdad45a6b58911ab1991c180,24,0,1,0.7329020500183105
23,0,5,2,bbc9e5544bb2415bb8ab9a5ae5164004,23,1,4,-
24,1,5,0,bcf07ceab46e4de19aba45a67e3805d9,25,0,1,0.8955898284912109
