mine_request,mined,hardness,node_id,node_identifier,blockchain_length,is_pool,number_of_nodes,mining_time
1,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
1,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
1,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
2,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
2,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
2,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
3,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
3,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
3,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
4,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
4,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
4,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
5,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
5,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
5,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
6,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
6,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
6,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
7,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
7,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
7,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
8,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
8,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
8,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
9,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
9,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
9,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
10,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
10,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
10,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
11,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
11,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
11,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
12,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
12,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
12,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
13,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
13,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
13,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
14,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
14,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
14,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
15,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
15,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
15,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
16,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
16,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
16,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
17,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
17,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
17,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
18,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
18,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
18,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
