resolve_request,hardness,node_index,node_name,node_counter,node_identifier,blockchain_length,is_pool,number_of_nodes,won
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,1,False,1,True
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,1,False,1,True
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,1,True,2,False
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,7,False,1,True
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,7,False,1,True
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,7,True,2,False
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,11,False,1,True
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,11,False,1,True
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,11,True,2,False
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,17,False,1,True
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,17,False,1,True
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,17,True,2,False
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,22,False,1,True
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,22,False,1,True
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,22,True,2,False
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,27,False,1,False
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,27,False,1,True
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,27,True,2,True
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,32,False,1,True
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,32,False,1,True
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,32,True,2,False
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,36,False,1,True
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,36,False,1,True
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,36,True,2,False
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,41,False,1,True
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,41,False,1,False
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,41,True,2,True
1,4,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,46,False,1,True
1,4,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,46,False,1,False
1,4,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,46,True,2,True
