resolve_request,hardness,node_id,node_identifier,blockchain_length,is_pool,number_of_nodes,won
0,4,0,501db0a7d47b4691aae6533a5b75708e,1,0,1,0
0,4,1,884695cd8fad409caf5b94c5167c19a9,1,0,1,1
0,4,2,859c0e03d0d8410e9d3cf219cd39c233,1,1,2,0
1,4,0,501db0a7d47b4691aae6533a5b75708e,1,0,1,0
1,4,1,884695cd8fad409caf5b94c5167c19a9,1,0,1,1
1,4,2,859c0e03d0d8410e9d3cf219cd39c233,1,1,2,0
2,4,0,501db0a7d47b4691aae6533a5b75708e,1,0,1,0
2,4,1,884695cd8fad409caf5b94c5167c19a9,1,0,1,0
2,4,2,859c0e03d0d8410e9d3cf219cd39c233,1,1,2,1
3,4,0,501db0a7d47b4691aae6533a5b75708e,1,0,1,0
3,4,1,884695cd8fad409caf5b94c5167c19a9,1,0,1,1
3,4,2,859c0e03d0d8410e9d3cf219cd39c233,1,1,2,0
