resolve_request,hardness,node_index,node_name,node_counter,node_identifier,blockchain_length,is_pool,number_of_nodes,won
0,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
0,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
0,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
1,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
1,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
1,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
2,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
2,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
2,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
3,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
3,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
3,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
4,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
4,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
4,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
5,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
5,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
5,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
6,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
6,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
6,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
7,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
7,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
7,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
